Acquisition Date,Publish Date,Orbit,Platform
2024-12-09,2024-12-12,108,S2A
2024-12-11,2024-12-14,65,S2B
2024-12-12,2024-12-15,8,S2A
2024-12-13,2024-12-16,22,S2A
2024-12-14,2024-12-17,108,S2B
2024-12-17,2024-12-20,8,S2B
2024-12-18,2024-12-21,22,S2B
2024-12-21,2024-12-24,65,S2B
